Titre,Vendeur,Prix,Ville,Carburant,Boite à vitesses,Puissance Fiscale,Nombre des images,Type,Secteur,Origine,État,Marque,Modèle,Année-Modèle,Nombre de portes,Première main,Kilométrage,Equipements
Toyota Corolla Hybride Automatique 2019 à Tétouan,auto confort 44,205 000 DH,Tétouan,Hybride,Automatique,8 CV,9 Images,"Voitures d'occasion, à vendre",Safir,WW au Maroc,Neuf,Toyota,Corolla,2019,5,Non,50 000 - 54 999,"['Système De Navigation/GPS', 'Verrouillage Centralisé À Distance', 'Airbags', 'Caméra De Recul', 'Vitres Électriques', 'Régulateur De Vitesse', 'Ordinateur De Bord', 'Radar De Recul', 'Jantes Aluminium', 'Toit Ouvrant', 'CD/MP3/Bluetooth', 'ABS', 'Climatisation', 'Limiteur De Vitesse', 'ESP']"
Toyota Corolla Hybride Automatique 2019 à Tétouan,auto confort 44,205 000 DH,Tétouan,Hybride,Automatique,8 CV,9 Images,"Voitures d'occasion, à vendre",Safir,WW au Maroc,Neuf,Toyota,Corolla,2019,5,Non,50 000 - 54 999,"['Ordinateur De Bord', 'Régulateur De Vitesse', 'Système De Navigation/GPS', 'ESP', 'ABS', 'Caméra De Recul', 'Limiteur De Vitesse', 'Airbags', 'Radar De Recul', 'Verrouillage Centralisé À Distance', 'Vitres Électriques', 'Toit Ouvrant', 'CD/MP3/Bluetooth', 'Jantes Aluminium', 'Climatisation']"
Transport des denrées périssables,FROZEN carosserie frigorifique,1 DH,Casablanca,Diesel,Manuelle,6 CV,6 Images,"Voitures d'occasion, à vendre",Aïn Chock,WW au Maroc,Très bon,Renault,express_van,2023,5,Oui,5 000 - 9 999,"['Sièges Cuir', 'Ordinateur De Bord', 'Caméra De Recul', 'Airbags', 'Vitres Électriques', 'CD/MP3/Bluetooth', 'Verrouillage Centralisé À Distance', 'ABS', 'ESP']"
Jeep CJ 5 Diesel Manuelle 1990 à Fès,yassine,PRIX NON SPÉCIFIÉ,Fès,Diesel,Manuelle,7 CV,6 Images,"Voitures d'occasion, à vendre",Saies,Dédouanée,Excellent,Jeep,CJ5,1990,3,Non,25 000 - 29 999,"['Sièges Cuir', 'Jantes Aluminium', 'CD/MP3/Bluetooth']"
Range Rover Sport Autobiographie Pack SVR,AUTO REDA,680 000 DH,Casablanca,Diesel,Automatique,12 CV,13 Images,"Voitures d'occasion, à vendre",Maarif,,Excellent,Land Rover,Range Rover Sport,2020,5,Oui,80 000 - 84 999,"['ESP', 'Caméra De Recul', 'Limiteur De Vitesse', 'Régulateur De Vitesse', 'Airbags', 'Sièges Cuir', 'Système De Navigation/GPS', 'ABS', 'Climatisation', 'CD/MP3/Bluetooth', 'Toit Ouvrant', 'Jantes Aluminium', 'Verrouillage Centralisé À Distance', 'Vitres Électriques', 'Radar De Recul', 'Ordinateur De Bord']"
Volkswagen Tiguan Diesel Automatique 2018,Auto Aymane,PRIX NON SPÉCIFIÉ,Casablanca,Diesel,Automatique,8 CV,10 Images,"Voitures d'occasion, à vendre",Almaz,WW au Maroc,Excellent,Volkswagen,Tiguan,2018,5,Oui,90 000 - 94 999,"['Climatisation', 'Caméra De Recul', 'Limiteur De Vitesse', 'ESP', 'Radar De Recul', 'Airbags', 'Toit Ouvrant', 'CD/MP3/Bluetooth', 'Système De Navigation/GPS', 'Jantes Aluminium', 'Verrouillage Centralisé À Distance', 'Ordinateur De Bord', 'Vitres Électriques', 'ABS', 'Régulateur De Vitesse', 'Sièges Cuir']"
Ford fiesta,Chaabi Auto,PRIX NON SPÉCIFIÉ,Rabat,Diesel,Manuelle,6 CV,8 Images,"Voitures d'occasion, à vendre",Médina de Rabat,,Excellent,Ford,Fiesta,2016,5,Oui,70 000 - 74 999,[]
tepe modil 2018 l3amra,Agadir,137 000 DH,Agadir,Diesel,Manuelle,6 CV,13 Images,"Voitures d'occasion, à vendre",Al Wifaq,Pas encore dédouanée,Très bon,Citroen,Berlingo,2018,5,Oui,100 000 - 109 999,"['Verrouillage Centralisé À Distance', 'Airbags', 'Limiteur De Vitesse', 'ABS', 'Vitres Électriques', 'Jantes Aluminium', 'Caméra De Recul', 'Climatisation', 'Régulateur De Vitesse', 'Sièges Cuir', 'Radar De Recul', 'CD/MP3/Bluetooth', 'ESP', 'Système De Navigation/GPS', 'Ordinateur De Bord']"
Citroen,Ezziyani Hicham,95 000 DH,Laattaouia,Diesel,Manuelle,6 CV,8 Images,"Voitures d'occasion, à vendre",Toute la ville,WW au Maroc,Très bon,Citroen,C-Elysée,2019,5,Non,200 000 - 249 999,[]
Hyundai I30,mustapha,123 000 DH,Tétouan,Diesel,Manuelle,6 CV,5 Images,"Voitures d'occasion, à vendre",Sidi Al Mandri,,,Hyundai,i 30,2015,,,150 000 - 159 999,[]
