Titre,Vendeur,Prix,Ville,Carburant,Boite à vitesses,Puissance Fiscale,Nombre des images,Type,Secteur,Origine,État,Marque,Modèle,Année-Modèle,Nombre de portes,Première main,Kilométrage,ABS,Airbags,CD/MP3/Bluetooth,Caméra De Recul,Climatisation,ESP,Jantes Aluminium,Limiteur De Vitesse,Ordinateur De Bord,Radar De Recul,Régulateur De Vitesse,Sièges Cuir,Système De Navigation/GPS,Toit Ouvrant,Verrouillage Centralisé À Distance,Vitres Électriques
Toyota Corolla Hybride Automatique 2019 à Tétouan,auto confort 44,205000.0,Tétouan,Hybride,Automatique,8,9,"Voitures d'occasion, à vendre",Safir,WW au Maroc,Neuf,Toyota,Corolla,2019-01-01,5,0,52499.5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Range Rover Sport Autobiographie Pack SVR,AUTO REDA,680000.0,Casablanca,Diesel,Automatique,12,13,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Land Rover,Range Rover Sport,2020-01-01,5,1,82499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tepe modil 2018 l3amra,Agadir,137000.0,Agadir,Diesel,Manuelle,6,13,"Voitures d'occasion, à vendre",Al Wifaq,Pas encore dédouanée,Très bon,Citroen,Berlingo,2018-01-01,5,1,104999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Citroen,Ezziyani Hicham,95000.0,Laattaouia,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Toute la ville,WW au Maroc,Très bon,Citroen,C-Elysée,2019-01-01,5,0,224999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai I30,mustapha,123000.0,Tétouan,Diesel,Manuelle,6,5,"Voitures d'occasion, à vendre",Sidi Al Mandri,WW au Maroc,Excellent,Hyundai,i 30,2015-01-01,5,1,154999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renault,Tahiri الطاهري,35000.0,Tétouan,Essence,Manuelle,8,5,"Voitures d'occasion, à vendre",Centre ville,WW au Maroc,Excellent,Renault,19,1995-01-01,5,1,17499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polo gti 2023,Med,380000.0,Tanger,Essence,Automatique,8,8,"Voitures d'occasion, à vendre",Centre ville,Importée neuve,Excellent,Volkswagen,Polo,2023-01-01,3,1,12499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Land Rover repris ok,HALIM,3180000.0,Rabat,Diesel,Automatique,11,20,"Voitures d'occasion, à vendre",Autre secteur,WW au Maroc,Excellent,Land Rover,Range Rover Sport,2014-01-01,5,0,154999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hyundai ix 35 Diesel Manuelle 2012 à Casablanca,particulier,125000.0,Casablanca,Diesel,Manuelle,8,6,"Voitures d'occasion, à vendre",2 Mars,WW au Maroc,Très bon,Hyundai,ix 35,2012-01-01,5,0,154999.5,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
Hyundai Tucson Diesel Automatique 2020,Global Occaz Marrif,270000.0,Casablanca,Diesel,Automatique,6,7,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Hyundai,Tucson,2020-01-01,5,1,72499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CITROÉN C3,auto ZAAFRI,119000.0,Fès,Diesel,Manuelle,6,12,"Voitures d'occasion, à vendre",Al Hadiqa,WW au Maroc,Excellent,Citroen,C3,2019-01-01,5,0,104999.5,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1
Mercedes-Benz Classe S MAYBACH,AUTO REDA,460000.0,Casablanca,Diesel,Automatique,12,15,"Voitures d'occasion, à vendre",Maarif,Dédouanée,Excellent,Mercedes-Benz,Classe S,2015-01-01,3,0,144999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Opel Insignia Diesel 1 er main ✋,Auto Simo,110000.0,Casablanca,Diesel,Manuelle,8,8,"Voitures d'occasion, à vendre",Sidi Maarouf,WW au Maroc,Excellent,Opel,Insignia,2014-01-01,5,1,144999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Opel Astra Automatic Tout Option,Ads Cars,126000.0,Temara,Diesel,Automatique,8,6,"Voitures d'occasion, à vendre",Wifak,WW au Maroc,Excellent,Opel,Astra,2015-01-01,5,1,184999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Porsche Panamera Hybride Automatique 2019,AUTO REDA,950000.0,Casablanca,Hybride,Automatique,17,15,"Voitures d'occasion, à vendre",Maarif,Dédouanée,Excellent,Porsche,Panamera,2019-01-01,3,1,72499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Volkswagen Golf 8 GTD 2024,autobahn,570000.0,Casablanca,Diesel,Automatique,7,8,"Voitures d'occasion, à vendre",Anfa,Importée neuve,Neuf,Volkswagen,GOLF 8,2024-01-01,5,1,2499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kia Picanto Essence Automatique 2021 à Marrakech,Mohamed,118000.0,Marrakech,Essence,Automatique,6,6,"Voitures d'occasion, à vendre",Massira,WW au Maroc,Excellent,Kia,Picanto,2021-01-01,5,1,104999.5,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1
Kia Picanto Essence Manuelle 2007 à Rabat,Ads Cars,57000.0,Rabat,Essence,Manuelle,6,7,"Voitures d'occasion, à vendre",Yacoub El Mansour,WW au Maroc,Excellent,Kia,Picanto,2007-01-01,5,1,144999.5,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1
Range Rover Evoque,KHALID AUTO,205000.0,Tanger,Diesel,Automatique,9,9,"Voitures d'occasion, à vendre",Zemmouri,WW au Maroc,Excellent,Land Rover,Range Rover Evoque,2013-01-01,5,0,184999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Peugeot partner tabla,AUTO FAYCAL,55000.0,Casablanca,Diesel,Manuelle,7,6,"Voitures d'occasion, à vendre",Al Qods,WW au Maroc,Très bon,Peugeot,Partner,2012-01-01,5,0,274999.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Range Rover Evoque,AUTO REDA,300000.0,Casablanca,Diesel,Automatique,8,12,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Land Rover,Range Rover Evoque,2019-01-01,5,1,92499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Audi A6 Diesel Automatique 2018 à Casablanca,AUTO REDA,280000.0,Casablanca,Diesel,Automatique,12,12,"Voitures d'occasion, à vendre",Maarif,Dédouanée,Excellent,Audi,A6,2018-01-01,3,1,124999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mercedes GLA,particulier,258000.0,Casablanca,Diesel,Automatique,8,5,"Voitures d'occasion, à vendre",2 Mars,WW au Maroc,Excellent,Mercedes-Benz,Classe GLA,2018-01-01,5,1,47499.5,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
Dacia Sandero,Ali Rouwani,95000.0,Settat,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Hay Al Kamal,WW au Maroc,Excellent,Dacia,Sandero,2016-01-01,5,1,12499.5,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1
Nissan Juke Diesel Manuelle 2016 à Casablanca,kenza,120000.0,Casablanca,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",2 Mars,WW au Maroc,Bon,Nissan,Juke,2016-01-01,5,1,134999.5,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1
renault clio3 (km90),abderahim,74000.0,Kénitra,Essence,Manuelle,6,7,"Voitures d'occasion, à vendre",La Ville Haute,WW au Maroc,Excellent,Renault,Clio,2008-01-01,5,1,92499.5,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0
Volkswagen Jetta Diesel Manuelle 1990 à Tétouan,Chakor Mohammed,39000.0,Tétouan,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Taboula,Dédouanée,Bon,Volkswagen,Jetta,1990-01-01,5,0,154999.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Opel Corsa Diesel Manuelle 2023 à Oujda,Ahmed,185000.0,Oujda,Diesel,Manuelle,6,8,"Voitures d'occasion, à vendre",Boustane,Importée neuve,Excellent,Opel,Corsa,2023-01-01,5,1,12499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz Classe S400 pack AMG,AUTO REDA,640000.0,Casablanca,Diesel,Automatique,12,11,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Mercedes-Benz,Classe S,2018-01-01,5,1,97499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mercedes-Benz Classe C Diesel Automatique 2018,Nait Hmid Mohamed,350000.0,Casablanca,Diesel,Automatique,9,6,"Voitures d'occasion, à vendre",Anfa,WW au Maroc,Excellent,Mercedes-Benz,Classe C,2018-01-01,5,1,62499.5,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1
pasat cc otomatiq modil 2009,Agadir,112000.0,Agadir,Diesel,Automatique,8,9,"Voitures d'occasion, à vendre",Bouargane,Dédouanée,Très bon,Volkswagen,PASSAT CC,2009-01-01,5,0,174999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Fiat 500 Diesel Manuelle 2015 à Casablanca,LAVAGE AUTO SAAD,87000.0,Casablanca,Diesel,Manuelle,6,5,"Voitures d'occasion, à vendre",2 Mars,WW au Maroc,Très bon,Fiat,500,2015-01-01,3,0,114999.5,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
1ÈRE MAIN BMW SERIE 4 GRANCOUPÉ SPORT,LAACHIRI AUTO,270000.0,Tanger,Diesel,Automatique,8,19,"Voitures d'occasion, à vendre",Centre ville,WW au Maroc,Excellent,BMW,Serie 4 gran coupé,2018-01-01,5,1,124999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maserati Ghibli,AUTO REDA,300000.0,Casablanca,Diesel,Automatique,12,11,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Maserati,Ghibli,2017-01-01,5,1,92499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1ÈRE MAIN AUDI A5 SPORTBACK AVUS FULL,LAACHIRI AUTO,225000.0,Tanger,Diesel,Automatique,8,20,"Voitures d'occasion, à vendre",Centre ville,WW au Maroc,Excellent,Audi,a5_sportback,2013-01-01,5,1,104999.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercedes-Benz Classe A 200 Pack AMG Line plus,AUTO REDA,400000.0,Casablanca,Diesel,Automatique,8,12,"Voitures d'occasion, à vendre",Maarif,Dédouanée,Excellent,Mercedes-Benz,Classe A,2022-01-01,5,1,104999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Volkswagen Tiguan Diesel Automatique 2020,Youssef,310000.0,Casablanca,Diesel,Automatique,8,6,"Voitures d'occasion, à vendre",Route d'El Jadida,WW au Maroc,Excellent,Volkswagen,Tiguan,2020-01-01,5,1,82499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Range Rover vogue Autobiographie Black line,AUTO REDA,640000.0,Casablanca,Diesel,Automatique,12,9,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Land Rover,Range Rover Sport,2019-01-01,3,1,92499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dacia Sandero Diesel Manuelle 2020 à Casablanca,Global Occaz Marrif,134000.0,Casablanca,Diesel,Manuelle,6,5,"Voitures d'occasion, à vendre",Maarif,WW au Maroc,Excellent,Dacia,Sandero,2020-01-01,5,1,82499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
داصيا دوكير,Automobiles chamal,95000.0,Ouazzane,Diesel,Manuelle,6,7,"Voitures d'occasion, à vendre",Toute la ville,WW au Maroc,Très bon,Dacia,Dokker,2013-01-01,5,0,224999.5,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0
Renault Clio Diesel Automatique 2021 à Casablanca,Autobroker,136900.0,Casablanca,Diesel,Automatique,6,7,"Voitures d'occasion, à vendre",Anfa,WW au Maroc,Excellent,Renault,Clio,2021-01-01,5,0,92499.5,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
Volkswagen tigwan 2020 diw 2023.11,auto khalid,439000.0,Casablanca,Diesel,Automatique,8,7,"Voitures d'occasion, à vendre",Aïn Chock,Dédouanée,Très bon,Volkswagen,Tiguan,2020-01-01,5,1,92499.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mise en Vente d'un Vélar en excellent état,HICHAM,400000.0,Casablanca,Diesel,Automatique,8,6,"Voitures d'occasion, à vendre",Anfa,WW au Maroc,Excellent,Land Rover,Velar,2018-01-01,5,0,114999.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
