Prix,Ville,Marque,Modèle,Année-Modèle,Kilométrage,Carburant,Puissance fiscale,Boite à vitesses,Nombre de portes,Origine,Première main,État,Jantes aluminium,Airbags,Climatisation,Système de navigation/GPS,Toit ouvrant,Sièges cuir,Radar de recul,Caméra de recul,Vitres électriques,ABS,ESP,Régulateur de vitesse,Limiteur de vitesse,CD/MP3/Bluetooth,Ordinateur de bord,Verrouillage centralisé à distance
60000,Temara,Fiat,Punto,2007,224999.5,Diesel,5,Manuelle,5,WW au Maroc,0,Très bon,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
70000,Temara,Dacia,Dokker Van,2013,424999.5,Diesel,6,Manuelle,3,WW au Maroc,0,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000,Casablanca,Volkswagen,Touareg,2005,2499.5,Diesel,10,Automatique,5,WW au Maroc,1,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97000,Dakhla,Toyota,Prado,2007,224999.5,Diesel,12,Manuelle,5,WW au Maroc,0,Excellent,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
255000,Khouribga,Volkswagen,Tiguan,2014,184999.5,Diesel,8,Automatique,5,Dédouanée,0,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
85000,Meknès,Peugeot,308,2009,224999.5,Diesel,6,Manuelle,5,WW au Maroc,0,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
164000,Mohammedia,Peugeot,208,2021,12499.5,Diesel,6,Manuelle,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
198000,Fquih Ben Saleh,Volkswagen,GOLF 7,2013,124999.5,Diesel,8,Automatique,5,Dédouanée,0,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
180000,Ait Melloul,Ford,Kuga,2016,224999.5,Diesel,8,Manuelle,5,WW au Maroc,1,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
105000,Tanger,Citroen,Berlingo,2015,12499.5,Essence,6,Manuelle,3,WW au Maroc,0,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
